clip,size,frames,changed_px,leaf_pct,leaf_x0,leaf_y0,leaf_x1,leaf_y1,violations
"BOHEMIA_ANIM_GAP_COOK_7_14_26.txt.fire.p_camp_cookfire_tripod_14",88x88,6,127,1.6,10,1,74,78,""
"BOHEMIA_ANIM_GAP_COOK_7_14_26.txt.fire.p_camp_campfire_15",88x88,6,919,11.9,10,1,73,80,""
"BOHEMIA_ANIM_GAP_COOK_7_14_26.txt.fire.p_camp_cookfire_pot_16",88x88,6,551,7.1,3,4,84,75,""
"BOHEMIA_ANIM_GAP_COOK_7_14_26.txt.fire.p_camp_cookfire_spit_17",88x88,6,813,10.5,7,2,80,77,""
"BOHEMIA_ANIM_GAP_COOK_7_14_26.txt.fire.p_camp_campfire_small_18",88x88,6,514,6.6,14,3,66,71,""
"BOHEMIA_ANIM_GAP_COOK_7_14_26.txt.fire.p_camp_firewood_stack_21",88x88,6,634,8.2,5,5,81,75,""
"BOHEMIA_ANIM_GAP_COOK_7_14_26.txt.fire.p_light_flare_road_05",88x88,6,416,5.4,4,3,82,78,""
"BOHEMIA_ANIM_GAP_COOK_7_14_26.txt.door.prov_Doors_and_Arch_00",88x88,8,7257,93.7,1,1,86,86,""
"BOHEMIA_ANIM_GAP_COOK_7_14_26.txt.door.prov_Doors_and_Arch_01",88x88,8,7259,93.7,1,1,86,86,""
"BOHEMIA_ANIM_GAP_COOK_7_14_26.txt.door.prov_Doors_and_Arch_05",88x88,8,7251,93.6,1,1,86,86,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_00_rollup",176x176,9,12827,41.4,37,46,137,172,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_01_swing",176x176,9,12625,40.8,37,46,137,170,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_02_swing",176x176,9,12625,40.8,37,46,137,170,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_03_swing",176x176,9,12726,41.1,37,46,137,171,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_04_swing",176x176,9,12827,41.4,37,46,137,172,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_05_swing",176x176,9,12739,41.1,37,46,137,172,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_07_swing",176x176,9,12827,41.4,37,46,137,172,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_08_swing",176x176,9,12827,41.4,37,46,137,172,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_09_swing",176x176,9,12827,41.4,37,46,137,172,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_10_swing",176x176,9,12827,41.4,37,46,137,172,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_11_swing",176x176,9,12827,41.4,37,46,137,172,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_12_swing",176x176,9,12827,41.4,37,46,137,172,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_13_swing",176x176,9,12926,41.7,37,46,137,173,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_14_swing",176x176,9,12827,41.4,37,46,137,172,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_15_swing",176x176,9,12928,41.7,37,46,137,173,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_16_swing",176x176,9,12928,41.7,37,46,137,173,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.11._Indust_17_swing",176x176,9,12827,41.4,37,46,137,172,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.4._Doors_a_00_swing",88x176,9,6630,42.8,18,46,68,175,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.4._Doors_a_01_swing",88x176,9,6630,42.8,18,46,68,175,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.4._Doors_a_02_swing",88x176,9,6630,42.8,18,46,68,175,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.4._Doors_a_03_swing",88x176,9,6630,42.8,18,46,68,175,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.4._Doors_a_04_swing",88x176,9,6630,42.8,18,46,68,175,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.4._Doors_a_05_swing",88x176,9,6630,42.8,18,46,68,175,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.4._Doors_a_06_swing",88x176,9,6630,42.8,18,46,68,175,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.4._Doors_a_07_swing",88x176,9,6630,42.8,18,46,68,175,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.4._Doors_a_08_swing",88x176,9,6630,42.8,18,46,68,175,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.4._Doors_a_09_swing",88x176,9,6630,42.8,18,46,68,175,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.prov_Doors_and_Arch_00",88x88,8,4863,62.8,12,12,75,87,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.prov_Doors_and_Arch_01",88x88,8,4860,62.8,12,12,75,87,""
"BOHEMIA_DOOR_ANIM_BANK_7_13_26.txt.clips.prov_Doors_and_Arch_05",88x88,8,4791,61.9,12,12,75,87,""
"BOHEMIA_DOOR_LEAF_COOK_V3_7_14_26.txt.door.prov_Doors_and_Arch_00",88x88,8,4863,62.8,12,12,75,87,""
"BOHEMIA_DOOR_LEAF_COOK_V3_7_14_26.txt.door.prov_Doors_and_Arch_01",88x88,8,4860,62.8,12,12,75,87,""
"BOHEMIA_DOOR_LEAF_COOK_V3_7_14_26.txt.door.prov_Doors_and_Arch_05",88x88,8,4791,61.9,12,12,75,87,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_00",88x176,8,708,4.6,5,4,80,165,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_01",88x176,8,828,5.3,8,6,81,166,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_02",88x176,8,880,5.7,6,4,80,165,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_03",88x176,8,509,3.3,5,9,72,164,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_04",88x176,8,732,4.7,5,6,80,166,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_05",88x88,8,339,4.4,8,3,79,82,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_06",88x88,8,359,4.6,7,3,73,82,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_12",88x176,8,1447,9.3,6,6,78,166,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_13",88x176,8,1948,12.6,7,6,79,166,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_16",88x88,8,1794,23.2,5,3,72,82,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_17",88x88,8,625,8.1,6,4,74,83,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_19",88x176,8,2586,16.7,7,6,79,166,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_21",88x176,8,1587,10.2,8,6,81,167,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_23",88x88,8,708,9.1,6,3,71,87,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_24",88x176,8,2522,16.3,5,0,77,167,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_25",88x176,8,2536,16.4,5,0,79,167,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_26",88x176,8,2332,15.1,6,0,79,167,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_27",88x176,8,2341,15.1,5,0,78,166,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_28",88x176,8,2647,17.1,6,0,81,140,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_29",88x176,8,2535,16.4,7,0,79,167,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_30",88x176,8,2764,17.8,2,0,79,166,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_31",88x176,8,2118,13.7,2,0,80,167,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_32",88x176,8,2836,18.3,0,0,80,166,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_33",88x176,8,2846,18.4,6,0,77,165,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_34",88x176,8,2550,16.5,5,0,82,167,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_35",88x176,8,1956,12.6,5,0,78,167,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_36",88x88,8,1072,13.8,4,0,81,76,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_37",88x88,8,1105,14.3,7,0,79,81,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_38",88x88,8,1135,14.7,4,0,82,80,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_40",88x88,8,1361,17.6,0,0,84,65,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_41",88x176,8,2271,14.7,4,0,78,162,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_43",88x176,8,1534,9.9,5,17,82,164,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_44",88x176,8,719,4.6,11,9,57,160,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.fire_46",88x176,8,1084,7.0,25,4,80,168,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.p_camp_cookfire_tripod_14",88x88,6,127,1.6,10,1,74,78,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.p_camp_campfire_15",88x88,6,919,11.9,10,1,73,80,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.p_camp_cookfire_pot_16",88x88,6,551,7.1,3,4,84,75,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.p_camp_cookfire_spit_17",88x88,6,813,10.5,7,2,80,77,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.p_camp_campfire_small_18",88x88,6,514,6.6,14,3,66,71,""
"BOHEMIA_FIRE_FLICKER_BANK_7_13_26.txt.clips.p_light_flare_road_05",88x88,6,416,5.4,4,3,82,78,""
"BOHEMIA_PARTICLE_LOOP_BANK_7_14_26.txt.clips.o_fx_flame_burst_00",88x88,6,5611,72.5,1,1,86,86,""
"BOHEMIA_PARTICLE_LOOP_BANK_7_14_26.txt.clips.o_fx_smoke_puff_01",88x88,8,5118,66.1,1,1,86,86,""
"BOHEMIA_PARTICLE_LOOP_BANK_7_14_26.txt.clips.o_fx_smoke_small_04",88x88,8,5573,72.0,1,1,86,86,""
"BOHEMIA_PARTICLE_LOOP_BANK_7_14_26.txt.clips.o_fx_ember_trail_05",88x88,8,5441,70.3,1,1,86,86,""
"BOHEMIA_PARTICLE_LOOP_BANK_7_14_26.txt.clips.o_fx_spark_burst_06",88x88,6,5113,66.0,1,1,86,86,""
"BOHEMIA_PARTICLE_LOOP_COOK_7_14_26.txt.clips.o_fx_flame_burst_00",88x88,6,5611,72.5,1,1,86,86,""
"BOHEMIA_PARTICLE_LOOP_COOK_7_14_26.txt.clips.o_fx_smoke_puff_01",88x88,8,5118,66.1,1,1,86,86,""
"BOHEMIA_PARTICLE_LOOP_COOK_7_14_26.txt.clips.o_fx_smoke_puff_02",88x88,8,5550,71.7,1,1,86,86,""
"BOHEMIA_PARTICLE_LOOP_COOK_7_14_26.txt.clips.o_fx_smoke_puff_03",88x88,8,5892,76.1,1,1,86,86,""
"BOHEMIA_PARTICLE_LOOP_COOK_7_14_26.txt.clips.o_fx_smoke_small_04",88x88,8,5573,72.0,1,1,86,86,""
"BOHEMIA_PARTICLE_LOOP_COOK_7_14_26.txt.clips.o_fx_ember_trail_05",88x88,8,5441,70.3,1,1,86,86,""
"BOHEMIA_PARTICLE_LOOP_COOK_7_14_26.txt.clips.o_fx_spark_burst_06",88x88,6,5113,66.0,1,1,86,86,""
