law,pixels,path
warm?,212,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[35].b64
warm?,63,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[37].b64
warm?,78,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[50].b64
warm?,51,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[51].b64
warm?,18,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[53].b64
warm?,7,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[55].b64
warm?,30,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[56].b64
warm?,1,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[57].b64
warm?,1,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[63].b64
warm?,41,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[79].b64
warm?,59,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[80].b64
warm?,44,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[81].b64
warm?,36,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[82].b64
warm?,29,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[84].b64
warm?,38,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[85].b64
warm?,18,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[86].b64
PURPLE,33,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[89].b64
warm?,22,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[90].b64
warm?,95,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[92].b64
warm?,20,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[93].b64
PURPLE,5,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[99].b64
PURPLE,6,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[101].b64
warm?,5,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[118].b64
PURPLE,21,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[118].b64
warm?,4,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[121].b64
PURPLE,26,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[121].b64
warm?,143,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[122].b64
warm?,96,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[123].b64
warm?,280,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[129].b64
warm?,150,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[130].b64
warm?,185,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[131].b64
warm?,181,BOHEMIA_BRIDGE_SET_7_10_26.txt.tiles[132].b64
